"PageViews","TimeSpent","Conversion","Version"
4,7.75300039135316,0,"A"
7,8.11239072278538,0,"A"
4,5.8908339232991,0,"A"
8,16.5130569721132,0,"A"
9,8.08474981196621,0,"A"
2,12.6728341461797,0,"A"
5,0.504752088803798,0,"A"
8,0.0552819683216512,0,"A"
5,1.6561011994521,0,"A"
5,16.7995831342905,0,"A"
9,1.91975739939253,0,"A"
5,12.3216912628789,0,"A"
6,5.15600995193963,0,"A"
5,4.41114093130454,0,"A"
2,6.28402094886103,0,"A"
8,8.06281904753694,0,"A"
3,6.59118843794265,0,"A"
2,20.7789931881586,0,"A"
4,0.263268927577883,0,"A"
9,2.50618781987578,0,"A"
8,0.123856313397463,0,"A"
6,6.33288375258842,0,"A"
6,2.16903702812323,0,"A"
11,4.43069394305348,0,"A"
6,21.2559413749138,0,"A"
6,3.34644359722733,0,"A"
5,7.61617608804652,0,"A"
5,4.60951152862981,0,"A"
4,0.49757948378101,0,"A"
3,5.53930044517317,0,"A"
9,4.21327496692538,0,"A"
8,17.820296608892,0,"A"
6,4.64950883900747,0,"A"
7,5.60397229314246,0,"A"
1,3.5435413941741,1,"A"
5,0.395278214710486,0,"A"
6,4.23133503925055,1,"A"
3,8.63689119246253,0,"A"
4,7.02475743618258,0,"A"
3,14.180627894931,0,"A"
3,0.971357277128845,0,"A"
4,2.57018880293093,0,"A"
4,2.32029199553654,0,"A"
4,0.418494420126081,0,"A"
3,0.137800591532141,0,"A"
3,24.5000467676867,0,"A"
3,23.0951576817194,0,"A"
5,0.9756492347946,0,"A"
4,2.10366100538522,0,"A"
7,2.15273355320096,0,"A"
2,8.9191355842019,0,"A"
5,4.37226759968325,0,"A"
7,0.658327847253531,0,"A"
2,2.68469621310297,0,"A"
5,1.22445913823321,0,"A"
3,8.29230362979048,0,"A"
3,9.42458169039735,0,"A"
6,25.4872608263244,1,"A"
8,0.934277158696204,0,"A"
4,8.79601610572312,0,"A"
6,8.15311680145958,0,"A"
2,0.734297387945624,0,"A"
4,2.33387220976874,0,"A"
4,0.294917194583518,0,"A"
7,0.428741410715214,0,"A"
5,0.117188816424459,0,"A"
7,7.30189018853405,0,"A"
7,0.155127307027016,0,"A"
